Start: Sun Jun 09 18:33:12 PDT 2024

Start: Sun Jun 09 18:33:12 PDT 2024

Parameter Sweeps

Number of parameters swept: 6

Table of parameters swept 
public	boolean	groups	true	true	true	false	false	false	
public	int	memorySize	1	2	3	1	2	3	

Parameter values for the class class evolutionaryGames.Environment
id  0
_cooperators  100
_defectors  100
_walkawayCooperators  100
_walkawayDefectors  100
_tftMobile  100
_tftStationary  100
_pavlovMobile  100
_pavlovStationary  100
memorySize  1
active  1.0
groups  true
averageAge  50.0
sdAge  10.0
mutationRate  0.01
resoucesToReproduce  30.0
minResourcesStart  30.0
maxResourcesStart  30.0
carryingCapacity  2000.0
searchRadiusPlayer  1
cooperate_cooperator  3.0
defect_defector  0.0
cooperate_defector  -1.0
defect_cooperator  5.0
reproductionRadius  1
lowerBoundsSurvival  0.0
useLowerBoundsSurvival  true
localReproduction  true
mutationRange  true
charts  true
nameSpace  SPARSE
gridWidth  100
gridHeight  100
paramSweeps  true
simLength  5001
simNumber  10
fileDataName  results.txt
folderDataName  data
dataSamplingInterval  50
burnIn  0
scheduleTimeInterval  1.0
closeProgramAtend  true
customSweepOnly  false

Sweep Number:	1
groups	true
memorySize	1
Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
0.000	10.000	1473.500	0.123	0.125	0.125	0.127	0.126	0.124	0.124	0.125
1.000	10.000	1434.700	0.123	0.128	0.123	0.129	0.125	0.123	0.124	0.125
50.000	10.000	1999.800	0.166	0.073	0.163	0.100	0.156	0.087	0.165	0.089
100.000	10.000	2000.000	0.200	0.036	0.200	0.069	0.175	0.060	0.188	0.072
150.000	10.000	1999.700	0.217	0.020	0.220	0.055	0.188	0.043	0.199	0.058
200.000	10.000	1999.900	0.213	0.014	0.233	0.046	0.197	0.035	0.209	0.053
250.000	10.000	1999.900	0.215	0.013	0.249	0.046	0.193	0.034	0.204	0.046
300.000	10.000	1999.800	0.210	0.019	0.262	0.058	0.189	0.034	0.193	0.035
350.000	10.000	2000.000	0.198	0.018	0.280	0.065	0.183	0.037	0.196	0.024
400.000	10.000	1999.900	0.187	0.024	0.311	0.065	0.176	0.032	0.188	0.018
450.000	10.000	1999.800	0.180	0.030	0.321	0.081	0.161	0.029	0.181	0.017
500.000	10.000	1999.400	0.173	0.027	0.318	0.101	0.165	0.021	0.180	0.015
550.000	10.000	1999.600	0.171	0.027	0.304	0.115	0.157	0.016	0.194	0.015
600.000	10.000	1999.900	0.161	0.036	0.292	0.159	0.132	0.014	0.190	0.016
650.000	10.000	2000.000	0.132	0.058	0.286	0.208	0.112	0.010	0.187	0.007
700.000	10.000	1999.900	0.142	0.060	0.297	0.151	0.147	0.009	0.189	0.005
750.000	10.000	2000.000	0.142	0.087	0.252	0.189	0.145	0.008	0.170	0.006
800.000	10.000	1997.600	0.154	0.123	0.275	0.166	0.137	0.007	0.131	0.007
850.000	10.000	1867.400	0.131	0.154	0.318	0.160	0.136	0.005	0.088	0.008
900.000	10.000	1811.800	0.104	0.112	0.310	0.187	0.205	0.004	0.069	0.009
950.000	10.000	1799.300	0.075	0.186	0.238	0.200	0.206	0.003	0.081	0.011
1000.000	10.000	1630.000	0.109	0.229	0.212	0.137	0.194	0.005	0.099	0.016
1050.000	8.000	1996.000	0.154	0.088	0.173	0.225	0.193	0.004	0.134	0.030
1100.000	8.000	1759.250	0.155	0.111	0.131	0.280	0.162	0.003	0.119	0.038
1150.000	8.000	1515.250	0.118	0.153	0.126	0.359	0.117	0.002	0.098	0.027
1200.000	7.000	1666.000	0.065	0.224	0.052	0.553	0.069	0.002	0.031	0.005
1250.000	6.000	1005.500	0.012	0.304	0.035	0.624	0.021	0.001	0.003	0.001
1300.000	4.000	716.250	0.001	0.127	0.068	0.799	0.005	0.000	0.000	0.000
1350.000	3.000	323.333	0.000	0.159	0.000	0.840	0.000	0.000	0.000	0.000
1400.000	1.000	10.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000

Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
0.000	10.000	6.045	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
1.000	10.000	7.003	0.001	0.001	0.001	0.002	0.001	0.001	0.001	0.001
50.000	10.000	0.133	0.005	0.002	0.005	0.005	0.006	0.005	0.009	0.004
100.000	10.000	0.000	0.010	0.005	0.010	0.005	0.009	0.003	0.012	0.005
150.000	10.000	0.153	0.013	0.003	0.012	0.004	0.010	0.004	0.016	0.007
200.000	10.000	0.100	0.016	0.003	0.013	0.005	0.015	0.005	0.018	0.008
250.000	10.000	0.100	0.018	0.003	0.015	0.009	0.019	0.005	0.020	0.007
300.000	10.000	0.133	0.018	0.002	0.019	0.014	0.022	0.007	0.019	0.006
350.000	10.000	0.000	0.018	0.002	0.020	0.015	0.026	0.006	0.016	0.004
400.000	10.000	0.100	0.017	0.005	0.024	0.009	0.029	0.004	0.018	0.003
450.000	10.000	0.133	0.018	0.005	0.029	0.011	0.027	0.005	0.024	0.002
500.000	10.000	0.400	0.025	0.004	0.037	0.018	0.030	0.004	0.033	0.003
550.000	10.000	0.267	0.034	0.007	0.045	0.018	0.028	0.003	0.042	0.004
600.000	10.000	0.100	0.036	0.014	0.055	0.036	0.025	0.003	0.049	0.005
650.000	10.000	0.000	0.031	0.025	0.066	0.070	0.028	0.003	0.059	0.002
700.000	10.000	0.100	0.036	0.013	0.065	0.030	0.045	0.003	0.065	0.002
750.000	10.000	0.000	0.050	0.041	0.061	0.058	0.037	0.003	0.061	0.001
800.000	10.000	2.077	0.068	0.065	0.077	0.026	0.033	0.003	0.042	0.002
